Customer_ID,Latitude,Longitude,City,Order_Weight,Order_Volume,Time_Window_Start,Time_Window_End,Service_Time,Priority_Level,Delivery_Type,Return_Flag
C000001,20.994608,105.784239,Hanoi,21.13,0.025,15:00,18:00,5,3,Home,True
C000002,10.710086,106.650496,Ho Chi Minh City,18.67,0.06,09:00,18:00,10,1,Home,True
C000003,10.777951,106.593372,Ho Chi Minh City,6.71,0.246,09:00,16:00,11,3,Home,False
C000004,21.053364,105.898102,Hanoi,14.46,0.189,10:00,18:00,5,2,Home,False
C000005,21.043772,105.790109,Hanoi,5.67,0.114,17:00,21:00,6,2,Office,False
C000006,10.751298,106.720948,Ho Chi Minh City,22.35,0.164,09:00,16:00,6,2,Home,False
C000007,10.048427,105.688742,Can Tho,3.25,0.018,13:00,18:00,7,3,Home,False
C000008,20.951416,105.895855,Hanoi,19.63,0.16,10:00,16:00,13,2,Home,False
C000009,21.054143,105.919388,Hanoi,17.03,0.018,13:00,18:00,15,2,Home,False
C000010,10.894385,106.810313,Ho Chi Minh City,3.76,0.09,09:00,12:00,7,1,Home,False
C000011,10.747098,106.687796,Ho Chi Minh City,13.93,0.184,15:00,21:00,6,1,Home,False
C000012,21.016758,105.935384,Hanoi,4.55,0.19,15:00,18:00,4,3,Locker,False
C000013,10.757428,106.773422,Ho Chi Minh City,6.25,0.073,17:00,20:00,11,2,Home,False
C000014,10.71546,106.764636,Ho Chi Minh City,1.59,0.176,08:00,12:00,4,2,Home,False
C000015,10.717906,106.586546,Ho Chi Minh City,8.7,0.032,13:00,16:00,4,3,Home,False
C000016,21.01604,105.850096,Hanoi,24.54,0.022,09:00,18:00,10,2,Home,False
C000017,10.852748,106.719606,Ho Chi Minh City,19.3,0.127,17:00,20:00,4,2,Home,False
C000018,10.749925,106.740196,Ho Chi Minh City,14.18,0.128,09:00,18:00,8,2,Home,False
C000019,21.145555,105.973374,Hanoi,11.34,0.024,17:00,20:00,8,2,Home,False
C000020,21.03283,105.937257,Hanoi,0.27,0.175,08:00,16:00,8,1,Home,False
C000021,20.929186,105.849732,Hanoi,6.41,0.153,09:00,18:00,10,2,Home,False
C000022,15.999404,108.13114,Da Nang,24.74,0.054,08:00,12:00,6,2,Home,False
C000023,21.114887,105.968168,Hanoi,19.57,0.162,13:00,20:00,12,2,Locker,True
C000024,20.970453,105.969075,Hanoi,10.72,0.039,17:00,20:00,3,2,Locker,False
C000025,20.993406,105.89107,Hanoi,7.71,0.172,13:00,20:00,4,2,Locker,True
C000026,10.84059,106.703791,Ho Chi Minh City,1.14,0.074,17:00,21:00,5,3,Home,False
C000027,10.772285,106.764848,Ho Chi Minh City,23.41,0.018,09:00,16:00,13,2,Home,False
C000028,10.72244,106.712474,Ho Chi Minh City,16.73,0.099,13:00,18:00,7,2,Home,False
C000029,10.719911,106.771948,Ho Chi Minh City,17.08,0.22,10:00,16:00,6,1,Home,False
C000030,20.963794,105.764427,Hanoi,22.97,0.052,10:00,16:00,4,2,Locker,False
C000031,10.722779,106.713134,Ho Chi Minh City,23.89,0.026,13:00,16:00,15,1,Home,False
C000032,10.757882,106.690177,Ho Chi Minh City,0.4,0.079,13:00,18:00,6,2,Locker,False
C000033,10.682411,106.722125,Ho Chi Minh City,5.86,0.225,09:00,18:00,13,2,Home,False
C000034,21.068225,105.740945,Hanoi,23.93,0.16,17:00,21:00,12,2,Home,False
C000035,10.835909,106.652588,Ho Chi Minh City,23.46,0.042,13:00,18:00,7,2,Home,True
C000036,10.729715,106.72085,Ho Chi Minh City,14.36,0.205,09:00,12:00,13,2,Home,False
C000037,10.818029,106.816796,Ho Chi Minh City,1.34,0.045,08:00,11:00,13,2,Home,False
C000038,16.09607,108.185137,Da Nang,14.02,0.05,10:00,16:00,8,3,Locker,False
C000039,10.084896,105.718054,Can Tho,20.78,0.062,10:00,18:00,15,1,Home,False
C000040,20.914484,105.923777,Hanoi,0.35,0.172,10:00,16:00,7,2,Home,False
C000041,21.001409,105.809189,Hanoi,13.21,0.061,15:00,21:00,3,2,Locker,False
C000042,10.676365,106.775711,Ho Chi Minh City,8.69,0.145,17:00,21:00,8,2,Home,False
C000043,10.7888,106.794618,Ho Chi Minh City,12.45,0.106,13:00,20:00,4,2,Home,False
C000044,10.871807,106.753074,Ho Chi Minh City,7.38,0.019,10:00,16:00,5,1,Home,False
C000045,16.065888,108.147996,Da Nang,6.74,0.07,08:00,12:00,3,2,Home,False
C000046,10.722382,106.613983,Ho Chi Minh City,6.51,0.183,10:00,18:00,8,1,Home,False
C000047,20.972205,105.923873,Hanoi,16.51,0.03,15:00,18:00,7,3,Home,False
C000048,10.018832,105.768098,Can Tho,16.97,0.208,08:00,11:00,13,2,Home,False
C000049,21.06228,105.81892,Hanoi,18.46,0.159,10:00,18:00,5,1,Home,False
C000050,20.936536,105.753567,Hanoi,10.57,0.121,09:00,16:00,3,2,Home,False
C000051,10.660738,106.646385,Ho Chi Minh City,3.74,0.101,15:00,20:00,14,2,Home,False
C000052,16.074599,108.133704,Da Nang,6.48,0.057,17:00,20:00,4,3,Home,False
C000053,20.959721,105.907542,Hanoi,0.74,0.031,17:00,21:00,6,2,Home,False
C000054,20.961099,105.782179,Hanoi,8.44,0.091,09:00,18:00,7,2,Home,True
C000055,10.810161,106.668446,Ho Chi Minh City,19.61,0.028,13:00,18:00,8,2,Locker,False
C000056,10.87782,106.814045,Ho Chi Minh City,22.37,0.071,17:00,20:00,11,3,Home,False
C000057,10.679617,106.664458,Ho Chi Minh City,7.58,0.016,15:00,20:00,7,2,Office,True
C000058,20.930931,105.959601,Hanoi,4.31,0.043,17:00,20:00,15,2,Home,False
C000059,16.07321,108.263657,Da Nang,8.74,0.098,08:00,12:00,14,2,Home,True
C000060,21.14739,105.809177,Hanoi,1.66,0.047,08:00,16:00,7,2,Locker,False
C000061,21.055978,105.780893,Hanoi,14.94,0.052,08:00,12:00,12,2,Home,True
C000062,21.079826,105.737712,Hanoi,1.68,0.097,17:00,21:00,12,2,Home,False
C000063,20.956453,105.854874,Hanoi,1.24,0.05,15:00,21:00,12,2,Home,False
C000064,21.040804,105.877995,Hanoi,0.7,0.182,15:00,20:00,5,2,Office,False
C000065,16.116967,108.17141,Da Nang,5.69,0.007,15:00,20:00,9,1,Home,True
C000066,10.816255,106.603697,Ho Chi Minh City,16.41,0.205,10:00,18:00,12,2,Home,False
C000067,20.979086,105.835786,Hanoi,2.25,0.173,13:00,16:00,8,3,Home,False
C000068,10.853388,106.780319,Ho Chi Minh City,0.78,0.033,10:00,18:00,10,2,Locker,False
C000069,10.886415,106.809757,Ho Chi Minh City,5.89,0.203,15:00,18:00,5,2,Home,False
C000070,21.081345,105.960913,Hanoi,20.36,0.009,17:00,21:00,9,1,Locker,True
C000071,10.785616,106.658199,Ho Chi Minh City,15.55,0.148,08:00,12:00,10,1,Home,False
C000072,16.009032,108.258381,Da Nang,7.29,0.016,15:00,21:00,10,1,Locker,False
C000073,20.975994,105.904933,Hanoi,14.3,0.04,08:00,12:00,14,2,Office,True
C000074,20.947618,105.760268,Hanoi,7.78,0.129,10:00,18:00,7,3,Locker,False
C000075,10.846661,106.61118,Ho Chi Minh City,5.35,0.197,08:00,11:00,10,2,Home,False
C000076,21.116253,105.74769,Hanoi,13.42,0.053,17:00,20:00,7,3,Home,False
C000077,20.960724,105.826798,Hanoi,1.82,0.114,09:00,16:00,9,2,Home,False
C000078,10.781184,106.634433,Ho Chi Minh City,3.81,0.203,09:00,18:00,10,1,Home,False
C000079,10.745628,106.652274,Ho Chi Minh City,23.58,0.077,13:00,16:00,6,2,Locker,False
C000080,21.08865,105.938859,Hanoi,15.97,0.033,17:00,20:00,8,2,Home,False
C000081,10.686276,106.690734,Ho Chi Minh City,19.35,0.143,17:00,21:00,7,1,Home,False
C000082,21.040203,105.88086,Hanoi,6.66,0.242,10:00,18:00,14,2,Home,False
C000083,21.136318,105.86417,Hanoi,13.73,0.15,10:00,18:00,5,2,Home,False
C000084,10.691345,106.808991,Ho Chi Minh City,12.6,0.176,09:00,16:00,7,2,Home,False
C000085,10.029939,105.735403,Can Tho,14.21,0.023,17:00,20:00,14,2,Home,False
C000086,16.004963,108.220622,Da Nang,3.64,0.043,17:00,20:00,6,1,Home,False
C000087,10.678693,106.744672,Ho Chi Minh City,3.81,0.165,17:00,20:00,13,2,Home,False
C000088,10.810022,106.766935,Ho Chi Minh City,2.64,0.027,15:00,18:00,11,2,Home,False
C000089,10.874062,106.711468,Ho Chi Minh City,20.77,0.204,17:00,20:00,5,2,Office,False
C000090,10.71301,106.778584,Ho Chi Minh City,0.78,0.238,08:00,16:00,8,2,Home,False
C000091,21.018539,105.7868,Hanoi,17.92,0.234,08:00,11:00,4,2,Home,False
C000092,10.02016,105.688812,Can Tho,3.61,0.062,10:00,18:00,9,2,Home,False
C000093,10.726056,106.751463,Ho Chi Minh City,16.94,0.189,15:00,21:00,9,2,Home,False
C000094,20.950604,105.77023,Hanoi,18.23,0.238,08:00,11:00,7,1,Home,True
C000095,20.922962,105.937719,Hanoi,9.5,0.076,17:00,21:00,11,3,Home,True
C000096,21.116078,105.76059,Hanoi,10.14,0.203,08:00,12:00,5,2,Home,False
C000097,10.656635,106.597975,Ho Chi Minh City,17.7,0.073,10:00,16:00,15,2,Home,False
C000098,10.762076,106.696226,Ho Chi Minh City,19.33,0.135,08:00,12:00,5,3,Home,False
C000099,10.733799,106.639111,Ho Chi Minh City,12.62,0.093,08:00,12:00,14,2,Home,False
C000100,10.838825,106.765606,Ho Chi Minh City,1.86,0.172,13:00,20:00,11,3,Home,False
C000101,21.095859,105.794406,Hanoi,13.84,0.225,08:00,11:00,9,2,Home,False
C000102,21.035811,105.839224,Hanoi,24.64,0.026,09:00,16:00,14,2,Home,False
C000103,10.888297,106.691519,Ho Chi Minh City,6.51,0.037,09:00,16:00,7,2,Home,True
C000104,10.666064,106.594347,Ho Chi Minh City,16.01,0.134,09:00,18:00,11,2,Home,False
C000105,10.683391,106.718949,Ho Chi Minh City,14.24,0.139,10:00,18:00,11,2,Home,False
