Customer_ID,Latitude,Longitude,City,Order_Weight,Order_Volume,Time_Window_Start,Time_Window_End,Service_Time,Priority_Level,Delivery_Type,Return_Flag
C000001,20.994608,105.784239,Hanoi,21.13,0.025,15:00,18:00,5,3,Home,True
C000004,21.053364,105.898102,Hanoi,14.46,0.189,10:00,18:00,5,2,Home,False
C000005,21.043772,105.790109,Hanoi,5.67,0.114,17:00,21:00,6,2,Office,False
C000008,20.951416,105.895855,Hanoi,19.63,0.16,10:00,16:00,13,2,Home,False
C000009,21.054143,105.919388,Hanoi,17.03,0.018,13:00,18:00,15,2,Home,False
C000012,21.016758,105.935384,Hanoi,4.55,0.19,15:00,18:00,4,3,Locker,False
C000016,21.01604,105.850096,Hanoi,24.54,0.022,09:00,18:00,10,2,Home,False
C000019,21.145555,105.973374,Hanoi,11.34,0.024,17:00,20:00,8,2,Home,False
C000020,21.03283,105.937257,Hanoi,0.27,0.175,08:00,16:00,8,1,Home,False
C000021,20.929186,105.849732,Hanoi,6.41,0.153,09:00,18:00,10,2,Home,False
C000023,21.114887,105.968168,Hanoi,19.57,0.162,13:00,20:00,12,2,Locker,True
C000024,20.970453,105.969075,Hanoi,10.72,0.039,17:00,20:00,3,2,Locker,False
C000025,20.993406,105.89107,Hanoi,7.71,0.172,13:00,20:00,4,2,Locker,True
C000030,20.963794,105.764427,Hanoi,22.97,0.052,10:00,16:00,4,2,Locker,False
C000034,21.068225,105.740945,Hanoi,23.93,0.16,17:00,21:00,12,2,Home,False
C000040,20.914484,105.923777,Hanoi,0.35,0.172,10:00,16:00,7,2,Home,False
C000041,21.001409,105.809189,Hanoi,13.21,0.061,15:00,21:00,3,2,Locker,False
C000047,20.972205,105.923873,Hanoi,16.51,0.03,15:00,18:00,7,3,Home,False
C000049,21.06228,105.81892,Hanoi,18.46,0.159,10:00,18:00,5,1,Home,False
C000050,20.936536,105.753567,Hanoi,10.57,0.121,09:00,16:00,3,2,Home,False
C000053,20.959721,105.907542,Hanoi,0.74,0.031,17:00,21:00,6,2,Home,False
C000054,20.961099,105.782179,Hanoi,8.44,0.091,09:00,18:00,7,2,Home,True
C000058,20.930931,105.959601,Hanoi,4.31,0.043,17:00,20:00,15,2,Home,False
C000060,21.14739,105.809177,Hanoi,1.66,0.047,08:00,16:00,7,2,Locker,False
C000061,21.055978,105.780893,Hanoi,14.94,0.052,08:00,12:00,12,2,Home,True
C000062,21.079826,105.737712,Hanoi,1.68,0.097,17:00,21:00,12,2,Home,False
C000063,20.956453,105.854874,Hanoi,1.24,0.05,15:00,21:00,12,2,Home,False
C000064,21.040804,105.877995,Hanoi,0.7,0.182,15:00,20:00,5,2,Office,False
C000067,20.979086,105.835786,Hanoi,2.25,0.173,13:00,16:00,8,3,Home,False
C000070,21.081345,105.960913,Hanoi,20.36,0.009,17:00,21:00,9,1,Locker,True
C000073,20.975994,105.904933,Hanoi,14.3,0.04,08:00,12:00,14,2,Office,True
C000074,20.947618,105.760268,Hanoi,7.78,0.129,10:00,18:00,7,3,Locker,False
C000076,21.116253,105.74769,Hanoi,13.42,0.053,17:00,20:00,7,3,Home,False
C000077,20.960724,105.826798,Hanoi,1.82,0.114,09:00,16:00,9,2,Home,False
C000080,21.08865,105.938859,Hanoi,15.97,0.033,17:00,20:00,8,2,Home,False
C000082,21.040203,105.88086,Hanoi,6.66,0.242,10:00,18:00,14,2,Home,False
C000083,21.136318,105.86417,Hanoi,13.73,0.15,10:00,18:00,5,2,Home,False
C000091,21.018539,105.7868,Hanoi,17.92,0.234,08:00,11:00,4,2,Home,False
C000094,20.950604,105.77023,Hanoi,18.23,0.238,08:00,11:00,7,1,Home,True
C000095,20.922962,105.937719,Hanoi,9.5,0.076,17:00,21:00,11,3,Home,True
C000096,21.116078,105.76059,Hanoi,10.14,0.203,08:00,12:00,5,2,Home,False
C000101,21.095859,105.794406,Hanoi,13.84,0.225,08:00,11:00,9,2,Home,False
C000102,21.035811,105.839224,Hanoi,24.64,0.026,09:00,16:00,14,2,Home,False
C000106,21.01516,105.891805,Hanoi,21.84,0.128,13:00,16:00,6,1,Home,False
C000108,21.122551,105.901812,Hanoi,24.72,0.018,10:00,16:00,9,2,Home,False
C000116,21.14314,105.973686,Hanoi,8.11,0.073,15:00,20:00,5,2,Office,False
C000117,20.935855,105.779718,Hanoi,20.07,0.174,09:00,18:00,12,3,Home,False
C000118,20.918074,105.958459,Hanoi,3.98,0.09,15:00,20:00,14,3,Home,False
C000124,20.921121,105.744633,Hanoi,10.93,0.024,10:00,18:00,8,2,Home,False
C000128,21.051611,105.848788,Hanoi,19.25,0.07,15:00,18:00,8,2,Home,False
C000131,20.973973,105.933709,Hanoi,10.86,0.075,10:00,18:00,12,2,Home,False
C000133,21.081573,105.815049,Hanoi,16.16,0.118,13:00,16:00,5,2,Home,False
C000139,20.910156,105.787386,Hanoi,21.9,0.114,13:00,18:00,10,3,Home,False
C000140,20.932994,105.811934,Hanoi,13.29,0.124,17:00,21:00,13,2,Home,False
C000144,20.927478,105.827028,Hanoi,21.17,0.235,17:00,21:00,6,2,Home,False
C000145,21.112234,105.869853,Hanoi,13.69,0.205,09:00,16:00,15,3,Home,False
C000146,21.070507,105.886364,Hanoi,4.95,0.041,08:00,12:00,4,1,Home,False
C000147,21.007054,105.88016,Hanoi,4.25,0.199,10:00,18:00,3,1,Home,False
C000149,20.92082,105.858632,Hanoi,7.81,0.178,17:00,21:00,9,2,Home,False
C000152,20.97776,105.781638,Hanoi,3.44,0.226,08:00,16:00,4,2,Home,False
C000155,21.011344,105.910901,Hanoi,22.51,0.038,08:00,11:00,6,2,Home,False
C000157,21.120233,105.863703,Hanoi,5.49,0.178,17:00,20:00,10,1,Home,False
C000159,20.986229,105.904346,Hanoi,13.56,0.098,09:00,18:00,8,1,Home,False
C000162,21.076749,105.924991,Hanoi,6.28,0.08,17:00,20:00,12,3,Locker,False
C000163,20.936041,105.742887,Hanoi,13.58,0.084,08:00,12:00,14,2,Locker,False
C000165,20.996586,105.944223,Hanoi,2.37,0.064,13:00,16:00,3,3,Home,False
C000169,21.097455,105.945573,Hanoi,13.35,0.247,08:00,11:00,11,2,Home,True
C000170,20.99841,105.818298,Hanoi,11.02,0.177,08:00,11:00,14,2,Home,False
C000171,21.11973,105.737537,Hanoi,10.91,0.203,09:00,18:00,9,3,Locker,False
C000181,20.910504,105.860991,Hanoi,17.58,0.024,17:00,20:00,11,3,Home,False
C000185,20.962354,105.774362,Hanoi,8.38,0.06,08:00,16:00,8,2,Locker,False
C000188,21.124364,105.957672,Hanoi,0.81,0.037,13:00,16:00,11,2,Home,False
C000190,21.138392,105.78281,Hanoi,23.4,0.241,15:00,20:00,5,2,Home,False
C000192,21.106581,105.815629,Hanoi,4.45,0.121,09:00,18:00,15,2,Home,False
C000194,20.913578,105.90193,Hanoi,12.66,0.2,15:00,21:00,12,2,Locker,False
C000196,20.983875,105.911625,Hanoi,11.7,0.047,15:00,18:00,9,3,Home,False
C000198,21.083095,105.923791,Hanoi,22.49,0.087,10:00,16:00,13,2,Locker,True
C000199,21.007156,105.823554,Hanoi,3.72,0.01,13:00,20:00,4,2,Home,False
C000201,20.948614,105.95687,Hanoi,6.01,0.064,10:00,16:00,12,2,Home,False
C000203,21.057319,105.948429,Hanoi,12.19,0.048,15:00,21:00,12,2,Home,False
C000205,20.911012,105.735511,Hanoi,12.42,0.164,09:00,18:00,6,3,Home,False
C000206,20.939565,105.850989,Hanoi,9.04,0.039,10:00,18:00,8,2,Locker,False
C000208,21.034256,105.864182,Hanoi,6.44,0.14,08:00,16:00,9,2,Home,False
C000209,21.127612,105.768884,Hanoi,7.18,0.013,13:00,16:00,15,3,Home,False
C000211,21.008144,105.830007,Hanoi,19.58,0.037,08:00,16:00,7,1,Home,True
C000212,21.133371,105.95024,Hanoi,21.77,0.175,10:00,18:00,9,2,Home,False
C000214,21.108822,105.971963,Hanoi,4.92,0.029,08:00,16:00,3,2,Home,False
C000216,21.00182,105.880548,Hanoi,5.16,0.132,15:00,20:00,6,3,Home,False
C000227,20.922459,105.901954,Hanoi,8.83,0.055,09:00,18:00,3,2,Home,False
C000228,20.984332,105.847365,Hanoi,9.11,0.141,10:00,18:00,14,1,Home,False
C000239,21.147326,105.903148,Hanoi,7.85,0.059,17:00,21:00,10,1,Locker,False
C000240,21.048165,105.833122,Hanoi,15.13,0.178,13:00,18:00,13,2,Home,False
C000242,21.0623,105.744574,Hanoi,0.26,0.087,15:00,18:00,5,2,Home,False
C000246,21.122755,105.784869,Hanoi,24.33,0.249,17:00,20:00,6,2,Home,False
C000249,20.952232,105.785378,Hanoi,4.45,0.17,08:00,12:00,6,2,Home,False
C000250,21.062544,105.7903,Hanoi,2.61,0.228,17:00,21:00,7,3,Locker,False
C000253,20.954284,105.910654,Hanoi,9.14,0.175,09:00,12:00,10,3,Home,True
C000257,20.920413,105.86011,Hanoi,2.11,0.223,15:00,20:00,10,2,Home,False
C000261,21.127486,105.853962,Hanoi,10.01,0.009,08:00,12:00,14,2,Home,False
C000270,21.016574,105.791063,Hanoi,15.63,0.039,13:00,20:00,5,3,Home,False
C000275,21.01425,105.776248,Hanoi,23.05,0.213,09:00,18:00,6,2,Home,False
C000277,20.923383,105.864886,Hanoi,12.48,0.238,13:00,18:00,6,2,Locker,False
C000279,21.102763,105.905648,Hanoi,15.13,0.102,08:00,16:00,5,1,Home,False
C000284,21.098756,105.766946,Hanoi,7.43,0.124,08:00,11:00,8,3,Home,False
C000286,20.945673,105.913304,Hanoi,22.18,0.06,08:00,16:00,4,2,Home,True
C000289,21.092774,105.923151,Hanoi,22.1,0.015,08:00,16:00,13,3,Locker,True
