Customer_ID,Latitude,Longitude,City,Order_Weight,Order_Volume,Time_Window_Start,Time_Window_End,Service_Time,Priority_Level,Delivery_Type,Return_Flag
C000002,10.710086,106.650496,Ho Chi Minh City,18.67,0.06,09:00,18:00,10,1,Home,True
C000003,10.777951,106.593372,Ho Chi Minh City,6.71,0.246,09:00,16:00,11,3,Home,False
C000006,10.751298,106.720948,Ho Chi Minh City,22.35,0.164,09:00,16:00,6,2,Home,False
C000010,10.894385,106.810313,Ho Chi Minh City,3.76,0.09,09:00,12:00,7,1,Home,False
C000011,10.747098,106.687796,Ho Chi Minh City,13.93,0.184,15:00,21:00,6,1,Home,False
C000013,10.757428,106.773422,Ho Chi Minh City,6.25,0.073,17:00,20:00,11,2,Home,False
C000014,10.71546,106.764636,Ho Chi Minh City,1.59,0.176,08:00,12:00,4,2,Home,False
C000015,10.717906,106.586546,Ho Chi Minh City,8.7,0.032,13:00,16:00,4,3,Home,False
C000017,10.852748,106.719606,Ho Chi Minh City,19.3,0.127,17:00,20:00,4,2,Home,False
C000018,10.749925,106.740196,Ho Chi Minh City,14.18,0.128,09:00,18:00,8,2,Home,False
C000026,10.84059,106.703791,Ho Chi Minh City,1.14,0.074,17:00,21:00,5,3,Home,False
C000027,10.772285,106.764848,Ho Chi Minh City,23.41,0.018,09:00,16:00,13,2,Home,False
C000028,10.72244,106.712474,Ho Chi Minh City,16.73,0.099,13:00,18:00,7,2,Home,False
C000029,10.719911,106.771948,Ho Chi Minh City,17.08,0.22,10:00,16:00,6,1,Home,False
C000031,10.722779,106.713134,Ho Chi Minh City,23.89,0.026,13:00,16:00,15,1,Home,False
C000032,10.757882,106.690177,Ho Chi Minh City,0.4,0.079,13:00,18:00,6,2,Locker,False
C000033,10.682411,106.722125,Ho Chi Minh City,5.86,0.225,09:00,18:00,13,2,Home,False
C000035,10.835909,106.652588,Ho Chi Minh City,23.46,0.042,13:00,18:00,7,2,Home,True
C000036,10.729715,106.72085,Ho Chi Minh City,14.36,0.205,09:00,12:00,13,2,Home,False
C000037,10.818029,106.816796,Ho Chi Minh City,1.34,0.045,08:00,11:00,13,2,Home,False
C000042,10.676365,106.775711,Ho Chi Minh City,8.69,0.145,17:00,21:00,8,2,Home,False
C000043,10.7888,106.794618,Ho Chi Minh City,12.45,0.106,13:00,20:00,4,2,Home,False
C000044,10.871807,106.753074,Ho Chi Minh City,7.38,0.019,10:00,16:00,5,1,Home,False
C000046,10.722382,106.613983,Ho Chi Minh City,6.51,0.183,10:00,18:00,8,1,Home,False
C000051,10.660738,106.646385,Ho Chi Minh City,3.74,0.101,15:00,20:00,14,2,Home,False
C000055,10.810161,106.668446,Ho Chi Minh City,19.61,0.028,13:00,18:00,8,2,Locker,False
C000056,10.87782,106.814045,Ho Chi Minh City,22.37,0.071,17:00,20:00,11,3,Home,False
C000057,10.679617,106.664458,Ho Chi Minh City,7.58,0.016,15:00,20:00,7,2,Office,True
C000066,10.816255,106.603697,Ho Chi Minh City,16.41,0.205,10:00,18:00,12,2,Home,False
C000068,10.853388,106.780319,Ho Chi Minh City,0.78,0.033,10:00,18:00,10,2,Locker,False
C000069,10.886415,106.809757,Ho Chi Minh City,5.89,0.203,15:00,18:00,5,2,Home,False
C000071,10.785616,106.658199,Ho Chi Minh City,15.55,0.148,08:00,12:00,10,1,Home,False
C000075,10.846661,106.61118,Ho Chi Minh City,5.35,0.197,08:00,11:00,10,2,Home,False
C000078,10.781184,106.634433,Ho Chi Minh City,3.81,0.203,09:00,18:00,10,1,Home,False
C000079,10.745628,106.652274,Ho Chi Minh City,23.58,0.077,13:00,16:00,6,2,Locker,False
C000081,10.686276,106.690734,Ho Chi Minh City,19.35,0.143,17:00,21:00,7,1,Home,False
C000084,10.691345,106.808991,Ho Chi Minh City,12.6,0.176,09:00,16:00,7,2,Home,False
C000087,10.678693,106.744672,Ho Chi Minh City,3.81,0.165,17:00,20:00,13,2,Home,False
C000088,10.810022,106.766935,Ho Chi Minh City,2.64,0.027,15:00,18:00,11,2,Home,False
C000089,10.874062,106.711468,Ho Chi Minh City,20.77,0.204,17:00,20:00,5,2,Office,False
C000090,10.71301,106.778584,Ho Chi Minh City,0.78,0.238,08:00,16:00,8,2,Home,False
C000093,10.726056,106.751463,Ho Chi Minh City,16.94,0.189,15:00,21:00,9,2,Home,False
C000097,10.656635,106.597975,Ho Chi Minh City,17.7,0.073,10:00,16:00,15,2,Home,False
C000098,10.762076,106.696226,Ho Chi Minh City,19.33,0.135,08:00,12:00,5,3,Home,False
C000099,10.733799,106.639111,Ho Chi Minh City,12.62,0.093,08:00,12:00,14,2,Home,False
C000100,10.838825,106.765606,Ho Chi Minh City,1.86,0.172,13:00,20:00,11,3,Home,False
C000103,10.888297,106.691519,Ho Chi Minh City,6.51,0.037,09:00,16:00,7,2,Home,True
C000104,10.666064,106.594347,Ho Chi Minh City,16.01,0.134,09:00,18:00,11,2,Home,False
C000105,10.683391,106.718949,Ho Chi Minh City,14.24,0.139,10:00,18:00,11,2,Home,False
C000110,10.826928,106.596031,Ho Chi Minh City,23.99,0.192,15:00,20:00,5,1,Home,False
C000111,10.670777,106.80839,Ho Chi Minh City,23.58,0.175,09:00,12:00,6,2,Home,False
C000112,10.696267,106.638845,Ho Chi Minh City,20.99,0.039,08:00,16:00,4,2,Home,False
C000113,10.792974,106.804935,Ho Chi Minh City,17.35,0.224,10:00,18:00,8,2,Home,False
C000115,10.726305,106.729375,Ho Chi Minh City,15.64,0.131,09:00,16:00,5,2,Home,False
C000119,10.814467,106.750572,Ho Chi Minh City,23.04,0.148,09:00,18:00,8,1,Home,False
C000122,10.866822,106.743669,Ho Chi Minh City,0.25,0.026,17:00,21:00,12,2,Home,False
C000123,10.706487,106.766096,Ho Chi Minh City,20.55,0.248,10:00,16:00,4,2,Home,False
C000127,10.774005,106.661215,Ho Chi Minh City,14.28,0.081,15:00,18:00,15,2,Home,False
C000130,10.870894,106.633533,Ho Chi Minh City,18.4,0.206,10:00,16:00,4,3,Locker,False
C000132,10.728973,106.801994,Ho Chi Minh City,24.75,0.239,09:00,18:00,11,3,Home,True
C000136,10.708111,106.590749,Ho Chi Minh City,19.94,0.154,17:00,20:00,8,3,Locker,False
C000137,10.829527,106.70002,Ho Chi Minh City,13.97,0.122,10:00,18:00,15,2,Home,False
C000138,10.862034,106.7491,Ho Chi Minh City,0.28,0.023,15:00,18:00,4,1,Home,False
C000141,10.667849,106.613478,Ho Chi Minh City,1.12,0.12,09:00,16:00,3,2,Office,False
C000142,10.715645,106.798309,Ho Chi Minh City,4.37,0.233,09:00,12:00,8,3,Home,True
C000148,10.660362,106.728653,Ho Chi Minh City,4.75,0.134,17:00,21:00,8,2,Home,False
C000151,10.692398,106.615603,Ho Chi Minh City,12.79,0.02,17:00,20:00,10,2,Home,False
C000153,10.790407,106.754656,Ho Chi Minh City,23.43,0.24,13:00,18:00,15,1,Home,False
C000154,10.780258,106.815073,Ho Chi Minh City,18.34,0.195,10:00,16:00,7,2,Home,False
C000156,10.880477,106.596916,Ho Chi Minh City,23.87,0.178,17:00,21:00,12,3,Home,True
C000160,10.839521,106.796499,Ho Chi Minh City,6.2,0.235,13:00,20:00,15,2,Home,False
C000161,10.840223,106.584825,Ho Chi Minh City,21.35,0.23,17:00,20:00,9,3,Home,False
C000164,10.682348,106.720562,Ho Chi Minh City,9.54,0.028,15:00,18:00,10,3,Home,False
C000167,10.690913,106.819892,Ho Chi Minh City,6.32,0.166,15:00,21:00,13,2,Home,False
C000172,10.83908,106.664891,Ho Chi Minh City,13.75,0.145,13:00,18:00,13,2,Home,False
C000176,10.853135,106.707404,Ho Chi Minh City,18.76,0.241,09:00,18:00,12,2,Office,False
C000177,10.859395,106.800434,Ho Chi Minh City,18.62,0.131,09:00,12:00,14,2,Home,False
C000178,10.836486,106.790167,Ho Chi Minh City,2.97,0.198,17:00,20:00,12,3,Home,False
C000179,10.728071,106.726927,Ho Chi Minh City,12.43,0.043,10:00,16:00,10,2,Home,False
C000180,10.764056,106.751861,Ho Chi Minh City,13.43,0.109,10:00,16:00,12,2,Home,False
C000182,10.742062,106.710089,Ho Chi Minh City,17.86,0.079,13:00,18:00,12,3,Home,False
C000183,10.8024,106.798687,Ho Chi Minh City,5.8,0.117,17:00,21:00,14,3,Locker,False
C000187,10.814786,106.638034,Ho Chi Minh City,7.69,0.091,10:00,16:00,14,2,Locker,False
C000191,10.762638,106.666282,Ho Chi Minh City,3.11,0.044,08:00,16:00,15,2,Home,True
C000193,10.666265,106.623805,Ho Chi Minh City,15.83,0.211,10:00,18:00,3,2,Home,False
C000195,10.888319,106.769936,Ho Chi Minh City,5.35,0.161,17:00,20:00,9,3,Home,False
C000197,10.678872,106.588035,Ho Chi Minh City,10.33,0.233,17:00,21:00,14,3,Home,False
C000200,10.672844,106.627779,Ho Chi Minh City,7.38,0.227,08:00,12:00,11,2,Home,True
C000202,10.721746,106.738939,Ho Chi Minh City,10.51,0.128,09:00,16:00,8,2,Home,False
C000207,10.703456,106.623118,Ho Chi Minh City,0.91,0.019,09:00,12:00,11,2,Locker,False
C000210,10.731325,106.785839,Ho Chi Minh City,17.17,0.204,13:00,18:00,10,1,Home,False
C000213,10.709637,106.785512,Ho Chi Minh City,22.89,0.153,08:00,11:00,9,3,Home,False
C000215,10.79237,106.619665,Ho Chi Minh City,18.61,0.242,17:00,21:00,10,2,Home,True
C000217,10.759688,106.67407,Ho Chi Minh City,4.97,0.023,09:00,16:00,9,1,Home,False
C000218,10.873519,106.598483,Ho Chi Minh City,2.11,0.078,17:00,20:00,5,2,Home,False
C000220,10.789555,106.795181,Ho Chi Minh City,23.31,0.062,09:00,18:00,15,2,Office,False
C000221,10.855507,106.627893,Ho Chi Minh City,0.57,0.1,15:00,18:00,15,2,Locker,False
C000223,10.873589,106.752986,Ho Chi Minh City,18.49,0.045,13:00,18:00,15,1,Home,False
C000226,10.709279,106.719663,Ho Chi Minh City,16.98,0.14,15:00,20:00,4,2,Locker,True
C000229,10.844915,106.795458,Ho Chi Minh City,15.11,0.075,10:00,18:00,7,3,Home,False
C000230,10.883856,106.710359,Ho Chi Minh City,23.21,0.2,17:00,20:00,15,2,Locker,False
C000231,10.838167,106.650797,Ho Chi Minh City,21.47,0.116,10:00,18:00,9,2,Home,False
C000232,10.826548,106.601373,Ho Chi Minh City,2.89,0.235,15:00,18:00,6,2,Home,False
C000233,10.857439,106.583526,Ho Chi Minh City,13.1,0.237,10:00,18:00,13,1,Home,True
C000236,10.668553,106.623391,Ho Chi Minh City,7.06,0.16,15:00,18:00,9,2,Home,False
C000237,10.705787,106.68006,Ho Chi Minh City,5.53,0.109,08:00,11:00,3,2,Home,True
C000241,10.843088,106.777816,Ho Chi Minh City,9.13,0.238,09:00,18:00,10,2,Home,False
C000244,10.713346,106.605719,Ho Chi Minh City,10.42,0.241,08:00,16:00,13,3,Home,False
C000245,10.867581,106.658934,Ho Chi Minh City,23.06,0.013,15:00,18:00,5,1,Home,False
C000248,10.656844,106.771474,Ho Chi Minh City,22.31,0.203,17:00,21:00,7,2,Home,False
C000251,10.793982,106.767856,Ho Chi Minh City,9.78,0.245,17:00,20:00,10,3,Home,False
C000252,10.70343,106.810606,Ho Chi Minh City,5.89,0.184,13:00,20:00,8,2,Home,False
C000254,10.8932,106.613166,Ho Chi Minh City,23.2,0.145,13:00,16:00,10,2,Home,False
C000255,10.754383,106.79857,Ho Chi Minh City,5.62,0.126,17:00,21:00,13,2,Home,False
C000259,10.879243,106.784055,Ho Chi Minh City,18.13,0.232,13:00,18:00,6,3,Home,False
C000260,10.685722,106.634142,Ho Chi Minh City,4.24,0.043,13:00,18:00,11,2,Home,False
C000262,10.757118,106.757966,Ho Chi Minh City,14.45,0.136,09:00,18:00,3,2,Home,False
C000264,10.693058,106.710072,Ho Chi Minh City,13.37,0.161,08:00,16:00,3,2,Home,True
C000265,10.865636,106.726027,Ho Chi Minh City,18.71,0.138,08:00,16:00,3,2,Office,False
C000266,10.875624,106.674451,Ho Chi Minh City,4.48,0.208,10:00,18:00,14,2,Home,False
C000267,10.872815,106.699646,Ho Chi Minh City,11.18,0.139,10:00,18:00,3,1,Home,False
C000268,10.774442,106.639548,Ho Chi Minh City,12.24,0.02,10:00,18:00,11,2,Home,False
C000269,10.656311,106.815112,Ho Chi Minh City,19.31,0.09,08:00,11:00,10,2,Home,False
C000271,10.716795,106.75151,Ho Chi Minh City,11.9,0.094,09:00,18:00,14,1,Home,False
C000272,10.65879,106.687115,Ho Chi Minh City,15.62,0.177,15:00,18:00,14,2,Home,False
C000273,10.718124,106.756403,Ho Chi Minh City,16.21,0.062,09:00,16:00,8,2,Office,False
C000274,10.741702,106.584474,Ho Chi Minh City,3.36,0.093,13:00,18:00,4,3,Locker,False
C000276,10.820736,106.72546,Ho Chi Minh City,13.1,0.015,08:00,11:00,7,2,Locker,False
